time,dc,ac_rms,snr_db,cardiac_power_fraction,dominant_hr,dominant_freq,periodicity,amplitude_consistency,sqi,status
111.0,479.0574690995917,151.64448884578565,-0.4542196794816201,0.7418245251521639,75.0,1.25,0.4531709199032503,0.9531847031550771,0.7228969740312772,QUESTIONABLE
113.0,473.2395109249734,152.00044307267146,-0.3683542822293043,0.5744362762806389,45.0,0.75,0.45573995160775355,0.949802119751655,0.6560358673133337,QUESTIONABLE
115.0,466.92547624616464,152.30678293185457,-1.070484927861504,0.5800882583376789,67.5,1.125,0.48163469165582895,0.9532203764559363,0.6667487334914286,BAD
117.0,466.25307095045406,144.3194935150472,1.7070663712046863,0.7556726968464366,67.5,1.125,0.6409220338389369,0.9580592966149452,0.7858943903185079,QUESTIONABLE
119.0,466.35476689834513,137.88944591506478,1.798066419488145,0.7598012386360563,67.5,1.125,0.810729825916666,0.9689100012273284,0.840921443474888,QUESTIONABLE
121.0,462.4031514527669,141.84192859813828,1.2045172249157912,0.7604997365962968,67.5,1.125,0.8116402067576134,0.9664128292566125,0.8409745225171252,QUESTIONABLE
123.0,469.54264218040373,142.4541118451738,0.03975503817604549,0.7827993265559267,75.0,1.25,0.8379257737033291,0.9660137937986643,0.8577002214931023,QUESTIONABLE
125.0,469.6493346524918,142.2951641792528,0.47703054503225123,0.7911621347239529,75.0,1.25,0.7957323810887166,0.9694178264227636,0.8490681335007488,QUESTIONABLE
127.0,463.5990600999151,140.56737023410335,0.24000773809153708,0.7867036702203217,67.5,1.125,0.8095466469454029,0.9703810082450329,0.8516216638207561,QUESTIONABLE
129.0,465.83625379909097,142.44772682426208,1.5366756943299187,0.7650569968479247,67.5,1.125,0.8198352190243936,0.9638934946909421,0.8447520633846765,QUESTIONABLE
131.0,466.6283911057616,137.67549855763224,1.48797086491118,0.7677093325890845,67.5,1.125,0.818585720348433,0.9603123951049998,0.8447219281611636,QUESTIONABLE
133.0,465.4294158784139,139.90587932784234,0.13257121301490854,0.7808123821255682,67.5,1.125,0.8711817898853581,0.960732717611399,0.8658260333381145,QUESTIONABLE
135.0,468.4690112935283,142.29601474740346,0.09914648396629887,0.7960747946141217,75.0,1.25,0.836925813489628,0.9580309049683444,0.8611138428862058,QUESTIONABLE
137.0,474.8694770616345,141.45818192617844,0.7965005953520703,0.7895013452059687,67.5,1.125,0.8432827650145142,0.9530446589393949,0.8593942993746208,QUESTIONABLE
139.0,466.47138088689667,139.67558154224295,1.5563753088264103,0.7745820148559577,67.5,1.125,0.8620194432271017,0.9550864873540802,0.8594559363813297,QUESTIONABLE
141.0,466.16894737519726,143.79541597887612,1.8802838059712637,0.7684982206333674,67.5,1.125,0.8543268582015727,0.9719832778737176,0.8580940012885623,QUESTIONABLE
143.0,463.61877043248717,136.91086478692503,1.1261529404749202,0.7866752489501471,67.5,1.125,0.8596291108650226,0.9536980435099903,0.8632984415415638,QUESTIONABLE
145.0,463.57582788119356,134.18511690880854,-0.13366446940265686,0.7891095828344854,67.5,1.125,0.869100642139516,0.946711570602449,0.8657163398961387,QUESTIONABLE
147.0,469.5226066462824,132.15400553227835,-0.19044858059315345,0.7716259682351974,67.5,1.125,0.8739667725616277,0.9527770054164031,0.8613958201458479,QUESTIONABLE
149.0,470.10028051357006,133.32482256400638,0.3435303622764085,0.7908279922406385,75.0,1.25,0.87108358120674,0.9387796048675471,0.8654121922317869,QUESTIONABLE
151.0,472.9912470349124,135.5653312788676,0.5742694239971252,0.8026021696459181,75.0,1.25,0.8026338375456591,0.9613967869539533,0.8541103765128556,QUESTIONABLE
153.0,473.0814435751561,139.27676257981605,0.2507171529421022,0.7951455344471872,75.0,1.25,0.7802940076270807,0.9409900927008102,0.839607592501898,QUESTIONABLE
155.0,472.04717827015975,139.44356031888324,1.2644328421218765,0.7671553955656032,67.5,1.125,0.7874329526102992,0.9484171302564701,0.832038627955362,QUESTIONABLE
157.0,459.9237372642963,139.59082819667557,1.8875828332049107,0.7751157706586005,67.5,1.125,0.824152663906076,0.95631545246271,0.8478183558225418,QUESTIONABLE
159.0,470.8141716541437,139.84214970789577,2.114919070691166,0.7662525361509124,67.5,1.125,0.808315115877856,0.9384943362245797,0.8359575743633745,QUESTIONABLE
161.0,468.48421325285256,132.4727929186018,1.492256782470876,0.7649056540415823,67.5,1.125,0.8165119906788042,0.962872480701602,0.8427535128553314,QUESTIONABLE
163.0,467.9581088479598,132.71334876917183,0.07981023084195912,0.7872201429233836,67.5,1.125,0.840866991977849,0.9499521207645558,0.8571385789156193,QUESTIONABLE
165.0,473.55119325501045,134.78504052519395,0.5370028854646229,0.7734344104627481,67.5,1.125,0.877718447792841,0.9828490522770763,0.8692591089783669,QUESTIONABLE
167.0,480.63827167705773,137.7986097051513,0.7027920268297092,0.7838304788202934,67.5,1.125,0.8258634296074504,0.9723184033016209,0.8557549010706766,QUESTIONABLE
169.0,470.2689354293633,135.56400007600078,1.5758157835002535,0.7870088280942708,67.5,1.125,0.8081975304506915,0.9699359650997937,0.8512499833928745,QUESTIONABLE
171.0,469.083309553072,137.04591288386462,1.5661052654809202,0.7810396537827885,67.5,1.125,0.7765036173668847,0.9504296163738643,0.8354528699979537,QUESTIONABLE
173.0,477.52993929940476,133.1749284516761,1.0158521487953227,0.7741325580290618,67.5,1.125,0.7303922325266736,0.955997916343901,0.819970276238407,QUESTIONABLE
175.0,469.1056352478657,131.69747122402433,-0.32740040880176485,0.8049973082946816,75.0,1.25,0.6851582569059818,0.9325136301864384,0.8140491264269548,QUESTIONABLE
177.0,468.21602559532926,131.6863380410993,0.5800387011767728,0.8157685409407865,75.0,1.25,0.7895034374127965,0.9326665528755969,0.849691758175273,QUESTIONABLE
179.0,475.6762383952273,131.12518354875007,0.5087043297893288,0.7893119623682493,67.5,1.125,0.7863298276451436,0.9296229219880104,0.8375483176384448,QUESTIONABLE
181.0,478.6877616221918,128.49198441493763,2.0033873149743773,0.7691244995033123,67.5,1.125,0.7941815674997577,0.931743004829506,0.8322528710171534,QUESTIONABLE
183.0,474.0024382572499,133.5277973850089,1.9283824632645512,0.7750215644936215,67.5,1.125,0.7766665545455371,0.9492391432156712,0.8328564208042439,QUESTIONABLE
185.0,478.54524191655014,131.15575428215726,-0.11989521613363445,0.7934454204632979,67.5,1.125,0.7780482781869227,0.9612203176460475,0.8430367151706054,QUESTIONABLE
187.0,476.7153545087648,129.83569750335778,0.5909657044726474,0.8042496988062134,75.0,1.25,0.8587018096075193,0.9604426168445835,0.8713989457736578,QUESTIONABLE
189.0,478.62510678513263,137.72358610854891,0.7368205188708963,0.8122125308870483,75.0,1.25,0.8065833753874685,0.9648427048527871,0.8598285659416173,QUESTIONABLE
191.0,474.7106000487942,136.81343335805457,0.16351843206206415,0.8015893276856961,75.0,1.25,0.7772776111676118,0.9641871668679574,0.8466564477981535,QUESTIONABLE
193.0,470.72101346470697,132.19512968972737,1.5282166814370381,0.7819286335358856,67.5,1.125,0.7942936279296485,0.9345960870236473,0.8379787591979783,QUESTIONABLE
195.0,473.94904524469933,134.19852590729863,1.421165255753213,0.7679933254021184,67.5,1.125,0.7619325717939214,0.9430274243292296,0.8243825865648697,QUESTIONABLE
197.0,474.38952233622047,133.12892773990495,0.13747407802320563,0.7856584530445115,67.5,1.125,0.7345783698546181,0.9452699404719804,0.8236908802685862,QUESTIONABLE
199.0,473.94904524469933,129.02000905065577,0.5780310222077226,0.8136037069470977,75.0,1.25,0.8605542059058948,0.9510015398037839,0.8738080525113644,QUESTIONABLE
201.0,475.88855598136496,132.46514450192282,0.5869917048025437,0.8254026125224664,75.0,1.25,0.765559469515719,0.9516658225437842,0.8501620503724591,QUESTIONABLE
203.0,480.0090334764763,134.1768575671358,0.22605744702800468,0.8015217871979406,75.0,1.25,0.7590363720184193,0.9594861399091179,0.8402168544665257,QUESTIONABLE
205.0,468.05651918798685,132.37362565533155,1.3280391679178984,0.7795810352828144,67.5,1.125,0.8185278967278218,0.9599220026485071,0.8493751836611737,QUESTIONABLE
207.0,473.5795530096947,133.96378680450215,1.700966511488216,0.7690600309214816,67.5,1.125,0.8275365353390584,0.9516678802406007,0.8462185490184303,QUESTIONABLE
209.0,471.94656459024964,128.52431682242596,1.7347963364545094,0.7701637022544863,67.5,1.125,0.836332868837443,0.9462808998484294,0.8482215215227132,QUESTIONABLE
211.0,470.37667697041456,129.0696559283155,0.9370956754355937,0.7744090447771473,67.5,1.125,0.797084587156321,0.9562958330905447,0.8401481606758642,QUESTIONABLE
213.0,469.4517859188005,125.87250466329925,0.48131861440200296,0.7766091356100208,67.5,1.125,0.8088489913187924,0.974631149805917,0.8482245816008295,QUESTIONABLE
215.0,473.36104077396027,125.42292579207928,0.22890897580595082,0.8025007623496311,75.0,1.25,0.828958419245388,0.9767219649432153,0.8650322237021119,QUESTIONABLE
217.0,464.0,124.06535489901691,0.3567938481389693,0.8188188439901093,75.0,1.25,0.6511163651719953,0.9679511917420767,0.8164526854960578,QUESTIONABLE
