HostTime_ns,Data
1786314507951899361,533
1786314507956968016,513
1786314507961939341,496
1786314507966811313,480
1786314507973149931,467
1786314507977967306,458
1786314507982739306,450
1786314507987695736,445
1786314507993846422,442
1786314507998918896,441
1786314508003824664,442
1786314508009859488,444
1786314508014757654,449
1786314508019850925,455
1786314508024669263,462
1786314508030825855,471
1786314508035785680,480
1786314508040841550,488
1786314508045822372,497
1786314508051647420,506
1786314508056832079,515
1786314508061762018,523
1786314508066826698,531
1786314508072727748,538
1786314508077672194,544
1786314508082779469,549
1786314508087771813,554
1786314508093705114,558
1786314508098893263,560
1786314508103721517,561
1786314508109575765,561
1786314508114669814,562
1786314508119816696,561
1786314508125396485,558
1786314508130603480,555
1786314508136186962,551
1786314508141283469,546
1786314508146141898,541
1786314508151171752,536
1786314508157247924,530
1786314508161838833,525
1786314508166724312,518
1786314508172821411,512
1786314508177749358,507
1786314508182724444,500
1786314508187701237,494
1786314508194308283,487
1786314508198765208,481
1786314508203716684,474
1786314508208798776,468
1786314508215010625,462
1786314508219754102,456
1786314508226385844,451
1786314508229779396,445
1786314508235708552,439
1786314508240938056,433
1786314508245716171,428
1786314508251195308,423
1786314508256791987,418
1786314508261740243,413
1786314508266707053,408
1786314508271843152,404
1786314508278040757,400
1786314508282646746,396
1786314508287623667,392
1786314508293226595,390
1786314508298734614,387
1786314508303659023,384
1786314508308727944,383
1786314508313668215,382
1786314508319743792,380
1786314508324735616,379
1786314508329770275,378
1786314508334801859,379
1786314508340728503,379
1786314508345840813,379
1786314508350777167,379
1786314508356664002,381
1786314508361743526,381
1786314508366795952,382
1786314508371756139,383
1786314508377807394,384
1786314508383072464,386
1786314508387819346,388
1786314508392834151,390
1786314508398726711,391
1786314508404173296,392
1786314508408725345,394
1786314508413671358,395
1786314508420160952,396
1786314508424750763,397
1786314508430331698,398
1786314508434735250,398
1786314508440749818,399
1786314508445764908,400
1786314508450943722,400
1786314508455756566,399
1786314508461893121,399
1786314508466669351,398
1786314508471773375,397
1786314508476996130,396
1786314508482782085,394
1786314508487716283,392
1786314508492689413,390
1786314508497846597,387
1786314508503720130,385
1786314508508821095,382
1786314508513705315,379
1786314508518728454,377
1786314508524748148,374
1786314508529838279,371
1786314508534703937,368
1786314508540728666,366
1786314508545737304,364
1786314508550911625,364
1786314508555679304,363
1786314508562196211,363
1786314508566752394,363
1786314508571724682,366
1786314508576676264,371
1786314508582712030,376
1786314508587698384,385
1786314508592824978,396
1786314508598312862,410
1786314508604183678,428
1786314508608786681,448
1786314508613743601,472
1786314508618704927,497
1786314508626572546,525
1786314508629728561,556
1786314508634743658,588
1786314508639766256,621
1786314508645763904,655
1786314508650726306,689
1786314508655721350,722
1786314508660738016,754
1786314508666733826,785
1786314508671753988,814
1786314508676755188,840
1786314508682160471,862
1786314508687697163,882
1786314508692752905,899
1786314508697763432,912
1786314508702667905,920
1786314508708748113,927
1786314508713691700,929
1786314508718772042,928
1786314508723741385,925
1786314508729728601,918
1786314508734724697,909
1786314508739823252,897
1786314508745764492,882
1786314508750716267,866
1786314508755932919,847
1786314508760661934,826
1786314508766679421,803
1786314508771657391,779
1786314508776835872,754
1786314508781759362,728
1786314508787667076,701
1786314508792931804,675
1786314508797731236,649
1786314508802797014,623
1786314508808825632,597
1786314508813665992,574
1786314508818795528,551
1786314508823852998,530
1786314508829868392,511
1786314508834737282,494
1786314508839726028,478
1786314508844898119,465
1786314508850838107,454
1786314508855760333,446
1786314508860816967,440
1786314508865730736,435
1786314508871836528,433
1786314508876859129,433
1786314508881765891,434
1786314508886926387,438
1786314508892832248,442
1786314508897747147,448
1786314508902814554,455
1786314508908725291,462
1786314508913675441,470
1786314508918806857,479
1786314508923830147,486
1786314508929758112,494
1786314508934758641,502
1786314508939660390,509
1786314508944907366,515
1786314508950790956,520
1786314508955676571,526
1786314508960862769,529
1786314508965671695,532
1786314508971861425,535
1786314508976871975,537
1786314508981736628,537
1786314508986791923,538
1786314508992850987,537
1786314508997696013,535
1786314509002859028,533
1786314509007680069,530
1786314509013672793,528
1786314509018827907,524
1786314509023703462,520
1786314509028815846,515
1786314509034651366,509
